Kab/kota,Provinsi,Kategori,Prov,Divaksin_2
Kab. Pringsewu,Lampung,1,Lampung,36
Kab. Pringsewu,Lampung,1,Lampung,15
Kab. Pringsewu,Lampung,1,Lampung,92
Kab. Pringsewu,Lampung,1,Lampung,87
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,50
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,56
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,111
Kab. Pringsewu,Lampung,5,Lampung,4
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,1,Lampung,10
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,42
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,1,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,1
Kab. Pringsewu,Lampung,3,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,1
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,58
Kab. Pringsewu,Lampung,4,Lampung,3
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,5
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,51
Kab. Pringsewu,Lampung,1,Lampung,14
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,7
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,0
Kab. Pringsewu,Lampung,3,Lampung,29
Kab. Pringsewu,Lampung,3,Lampung,8
Kab. Pringsewu,Lampung,3,Lampung,11
Kab. Pringsewu,Lampung,3,Lampung,3
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,21
Kab. Pringsewu,Lampung,1,Lampung,2
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,4,Lampung,1
Kab. Pringsewu,Lampung,4,Lampung,0
Kab. Pringsewu,Lampung,5,Lampung,12
Kab. Pringsewu,Lampung,5,Lampung,6
Kab. Pringsewu,Lampung,5,Lampung,25
Kab. Pringsewu,Lampung,6,Lampung,0
Kab. Pringsewu,Lampung,6,Lampung,1
Kab. Pringsewu,Lampung,6,Lampung,3
Kab. Pringsewu,Lampung,4,Lampung,21
